X1	Y1	P1	X2	Y2	P2
516.68	523.81	529.67	536.66	542.40	549.21
556.94	564.06	569.90	575.58	581.96	588.47
594.95	600.37	605.85	610.66	615.99	621.30
626.72	631.86	636.89	640.51	644.24	648.35
652.03	655.14	657.87	661.13	665.15	670.38
674.38	678.41	681.59	684.10	687.30	690.72
693.66	696.71	699.46	702.01	704.06	706.73
708.93	712.06	714.46	716.66	718.92	722.81
723.26	724.77	727.79	730.39	732.28	733.12
735.57	736.38	737.14	737.03	738.21	739.20
739.94	740.78	741.62	742.39	743.33	745.50
748.06	749.97	752.67	755.81	758.54	761.10
763.94	765.60	766.95	769.02	770.06	770.75
773.69	777.96	780.42	782.20	784.37	786.36
788.45	790.41	792.03	793.10	795.10	795.85
796.89	799.03	800.32	800.89	801.66	802.93
803.29	803.92	805.47	807.28	808.87	811.55
814.16	816.50	819.04	821.47	824.16	826.39
829.49	831.97	834.98	838.39	841.21	844.03
847.23	850.06	852.44	854.65	857.00	858.88
860.25	862.29	864.47	865.77	867.91	869.93
871.64	873.35	875.20	876.77	878.14	879.43
880.48	881.85	882.41	882.49	882.75	882.76
882.63	882.52	882.11	881.50	880.91	880.66
880.28	879.77	879.30	878.99	878.42	877.69
875.83	873.63	871.85	869.95	867.33	864.72
862.51	859.55	856.42	853.95	850.63	845.99
840.78	835.68	830.26	825.49	820.48	815.51
810.67	806.07	798.34	788.74	779.43	770.34
761.43	752.67	744.46	737.19	729.47	723.05
716.68	708.66	699.00	689.85	680.83	672.30
664.10	656.70	648.81	639.07	627.33	617.01
606.90	597.78	589.15	581.09	572.58	563.10
552.71	541.92	531.25	520.29	509.44	498.26
486.89	476.32	466.15	457.26	447.86	439.70
431.31	423.16	415.07	406.07	397.00	388.68
378.84	370.26	358.99	345.86	333.92	321.74
311.94	300.86	291.16	281.39	271.78	262.47
254.40	246.06	239.13	231.71	225.11	219.74
215.40	211.34	207.70	204.61	202.21	199.83
197.08	194.71	192.50	190.58	188.77	186.57
184.73	182.85	180.11	178.33	177.14	176.20
176.65	177.39	179.12	184.41	190.50	197.40
204.54	210.94	217.68	224.37	230.79	237.30
243.76	249.81	255.23	260.05	266.84	272.78
278.43	284.38	290.86	296.68	303.25	308.99
315.10	321.72	327.23	333.02	338.72	344.32
349.71	354.94	359.70	364.75	369.94	374.27
379.13	383.61	387.98	391.91	396.74	400.73
404.98	408.28	412.24	416.44	420.87	425.07
429.18	433.16	438.93	446.62	455.24	463.54
470.97	479.10	487.83	496.73	506.49	516.73
525.59	534.79	544.02	552.39	560.99	568.78
576.71	584.95	590.54	598.23	608.93	617.25
625.70	634.90	643.36	652.14	659.52	668.08
676.13	684.68	692.36	699.53	706.89	712.01
718.91	725.61	730.69	735.85	741.17	745.85
751.07	754.37	758.56	761.94	766.84	769.84
773.16	776.06	778.46	780.45	782.77	783.45
783.29	782.62	781.90	781.09	779.22	774.04
766.54	760.53	754.02	748.24	742.83	735.63
730.22	725.17	718.89	713.15	707.16	700.78
695.50	687.40	682.71	677.24	670.29	662.80
653.79	643.97	635.30	625.91	616.21	605.69
595.91	586.08	575.57	565.02	556.49	546.28
537.62	528.20	519.83	509.59	499.69	490.30
479.74	470.09	460.82	451.20	442.24	432.48
422.97	413.29	403.78	394.46	385.93	377.91
370.27	362.82	355.30	349.27	342.56	336.05
329.62	324.40	315.54	309.10	303.46	297.71
291.41	285.93	281.05	275.96	270.88	266.67
262.91	258.95	254.72	250.92	246.40	242.72
239.53	236.17	232.99	229.27	226.16	223.07
220.18	216.94	213.03	209.40	205.89	201.72
199.18	195.68	192.43	189.98	186.30	182.95
179.43	175.76	171.85	168.44	166.58	166.39
165.98	164.93	164.82	166.16	168.51	170.19
171.30	173.99	176.40	177.89	178.92	179.65
180.10	180.30	181.06	182.68	183.10	184.55
187.73	190.01	191.58	195.54	200.47	204.94
209.45	212.58	215.82	218.44	221.97	225.78
230.16	234.23	237.39	240.21	241.30	242.97
244.76	245.40	246.25	246.66	245.41	245.50
244.78	244.79	245.30	244.55	244.55	244.58
243.71	242.37	241.59	240.66	239.67	238.73
238.08	237.39	237.09	236.81	234.54	228.76
222.21	216.52	209.94	204.22	198.02	193.23
189.87	183.83	177.68	172.03	165.99	159.56
155.05	150.55	146.56	143.32	141.03	139.06
137.04	135.30	133.88	132.60	131.45	130.26
129.13	128.02	126.85	126.10	125.35	124.76
124.71	125.68	126.85	128.66	130.27	131.93
135.43	143.83	153.20	161.52	169.09	176.28
182.96	189.48	194.81	200.58	206.25	210.38
212.04	211.85	211.12	210.89	210.11	209.84
209.22	208.70	208.40	207.68	207.63	207.14
206.69	206.71	206.55	206.23	205.72	205.52
205.24	203.50	199.97	196.44	192.91	189.38
186.68	185.38	183.10	179.84	176.85	175.72
176.31	177.98	181.31	184.11	186.90	189.64
193.06	196.70	200.98	205.74	209.88	213.42
216.47	219.76	223.04	226.32	229.61	232.89
236.17	238.65	241.72	243.85	246.70	249.47
251.95	254.35	255.98	258.16	259.68	259.95
258.94	257.79	255.66	253.94	252.23	250.80
249.17	247.69	246.31	245.02	244.77	242.75
240.73	238.70	236.27	233.46	231.10	229.09
227.31	225.54	223.77	222.14	221.62	223.22
226.64	230.31	233.83	237.00	240.21	243.16
245.98	248.76	250.13	253.81	255.64	258.23
260.90	263.08	264.06	266.71	267.68	268.64
269.61	269.95	269.80	268.43	267.87	267.16
266.63	265.72	264.85	264.26	263.55	262.87
262.30	261.85	261.65	259.49	257.42	256.06
255.07	254.05	253.15	252.45	251.76	251.09
250.72	250.50	249.51	247.17	245.00	242.80
241.46	240.57	239.95	240.31	239.95	237.76
235.53	233.38	231.07	229.81	228.08	226.99
228.02	230.07	231.21	233.31	235.28	236.65
237.95	239.13	238.64	238.28	237.91	237.55
237.19	236.83	236.46	236.10	235.74	234.25
236.01	237.78	239.48	241.36	240.81	245.00
247.00	248.00	250.13	251.90	253.90	256.63
259.90	262.45	266.02	269.14	272.07	275.01
278.45	281.72	285.63	288.92	293.02	296.76
299.83	304.00	308.07	311.74	314.94	317.95
321.83	325.59	328.54	331.73	334.04	337.30
341.62	346.06	351.28	355.97	360.69	365.65
370.38	375.12	380.29	385.40	389.52	394.34
398.19	402.15	406.05	409.66	413.50	417.10
420.31	423.59	426.84	431.38	436.92	443.15
447.30	454.72	460.47	466.74	473.10	479.69
487.17	494.24	500.93	507.50	514.08	521.34
527.76	533.87	540.38	547.08	552.39	556.93
563.27	568.83	574.80	580.21	585.80	592.01
598.00	603.90	609.13	614.98	619.89	625.09
629.05	634.46	639.86	644.76	649.25	653.55
658.13	661.89	667.60	671.87	675.52	678.19
682.72	687.14	691.78	695.93	700.56	705.50
710.60	714.47	716.99	718.76	720.50	720.37
720.31	721.01	722.99	725.08	727.36	729.06
729.85	730.61	729.26	726.75	724.47	724.61
724.75	724.88	725.02	725.16	725.30	725.42
725.39	726.04	726.68	727.21	727.42	727.87
728.41	728.10	727.95	729.74	729.14	730.02
732.85	733.72	734.53	735.34	736.16	736.97
737.78	738.60	739.35	740.10	739.76	741.28
742.30	742.84	743.45	743.60	743.52	742.93
743.12	743.25	743.47	743.03	742.67	742.50
742.45	742.00	741.02	739.44	738.40	737.48
736.97	736.40	735.77	735.40	734.75	732.29
729.12	725.17	722.22	718.67	716.97	714.70
712.62	710.63	707.91	707.53	709.12	711.46
713.87	716.09	719.17	722.58	726.27	729.74
733.24	736.12	739.36	742.61	745.74	748.53
751.53	754.32	756.81	759.28	761.71	763.75
765.90	767.59	770.12	775.62	781.13	787.63
793.38	797.84	802.97	807.78	812.41	816.97
821.30	825.76	831.55	837.65	843.59	848.88
854.01	858.91	863.06	867.40	871.31	875.44
879.37	883.41	887.62	891.59	895.78	898.18
901.85	904.61	907.31	909.48	910.44	910.91
911.51	912.49	912.73	913.07	913.95	915.24
916.33	917.49	919.07	920.59	921.70	922.89
924.42	925.79	926.80	927.66	928.70	929.88
930.89	931.22	931.01	930.90	931.12	930.93
930.85	930.88	930.80	929.71	928.32	927.50
926.90	926.18	924.83	923.71	923.33	922.39
920.22	917.98	916.34	915.48	914.68	913.50
912.32	910.75	909.76	908.96	908.36	907.40
905.44	903.71	902.40	900.53	897.77	893.28
888.91	885.15	881.81	878.82	876.13	873.49
870.54	867.99	865.85	863.82	861.92	860.61
858.98	857.63	856.83	856.13	855.04	853.03
851.08	849.21	847.59	845.59	842.71	838.22
835.75	832.75	827.24	821.85	816.10	810.38
805.90	801.29	797.81	793.90	790.17	786.76
782.91	779.72	776.54	773.82	770.82	767.51
765.07	762.09	759.46	757.32	754.86	752.17
751.37	751.86	753.32	755.92	757.58	758.78
760.78	762.55	764.80	768.07	766.06	765.00
764.00	764.00	765.00	756.00	754.00	751.94
749.92	744.66	740.05	735.96	731.45	727.08
723.48	719.47	715.50	713.08	711.28	711.11
712.11	713.16	714.33	715.54	717.04	718.36
719.06	720.38	721.87	723.09	724.14	724.70
725.53	726.90	728.13	728.43	730.76	732.93
735.19	737.97	740.69	743.31	745.86	748.43
750.60	753.11	755.17	757.27	759.39	761.36
763.18	765.33	767.04	769.06	770.44	772.54
774.08	775.50	777.80	779.58	780.92	782.71
785.07	786.92	788.50	790.17	791.77	793.34
794.81	796.44	797.92	798.97	799.15	799.92
800.24	799.86	799.94	799.61	798.32	797.83
797.50	796.91	796.22	795.65	795.08	794.75
794.16	793.80	793.35	792.21	790.82	790.69
789.67	789.13	788.65	788.27	788.05	787.88
787.71	787.73	787.91	787.98	788.05	788.14
788.39	788.88	787.55	785.38	784.43	783.52
782.64	781.63	780.72	779.87	779.49	778.46
778.30	779.85	781.47	783.08	784.18	785.27
786.30	787.17	788.10	788.08	788.02	788.15
785.91	781.67	776.85	774.33	771.58	769.55
767.63	766.05	764.69	763.24	761.20	759.65
757.54	754.36	751.14	748.16	745.27	740.14
734.49	729.50	725.54	722.37	722.76	724.01
725.02	725.75	725.13	725.84	725.10	722.25
718.53	714.92	710.90	704.79	699.22	693.48
687.48	681.92	677.25	672.40	668.03	663.81
659.78	656.40	653.69	651.35	650.76	651.90
653.25	654.85	656.75	657.75	659.12	660.41
661.35	662.09	662.67	663.02	666.23	669.86
673.29	675.41	677.61	678.55	678.91	679.36
679.39	679.22	678.91	680.37	681.99	682.77
683.23	686.14	687.68	688.75	691.70	694.00
697.42	703.58	709.40	712.49	714.16	711.91
705.51	698.58	692.19	688.87	681.48	665.46
653.04	642.68	635.02	616.54	598.55	583.33
570.56	559.12	549.80	542.02	536.07	530.52
524.49	516.57	506.71	495.65	482.19	469.57
456.26	443.12	430.36	418.48	404.68	391.73
383.37	372.60	363.39	354.81	347.03	338.05
331.69	324.48	315.99	307.95	299.05	292.88
289.11	285.88	284.48	283.07	278.96	276.46
272.22	265.67	261.89	259.57	256.66	251.28
249.06	250.09	253.38	255.42	257.71	261.35
265.92	267.98	269.75	271.91	270.38	268.39
266.21	262.76	261.04	257.82	252.58	251.22
252.12	254.23	256.13	255.72	253.50	251.28
249.83	246.47	244.62	242.40	240.18	237.29
234.40	233.00	229.00	224.00	220.70	217.39
214.00	211.00	207.49	204.18	200.88	197.58
194.09	193.02	192.00	191.06	188.17	188.18
188.20	188.22	188.23	188.86	191.28	193.70
196.12	198.22	203.84	207.90	211.96	219.36
220.08	224.14	224.28	225.94	226.85	226.78
227.25	228.24	228.34	227.72	228.33	229.11
230.31	230.92	232.04	233.15	233.05	233.97
235.39	238.49	240.25	245.07	249.10	254.56
261.55	268.35	275.00	282.00	289.00	296.00
303.00	310.00	317.00	322.78	329.58	337.48
345.40	354.55	364.00	372.04	380.19	387.59
393.65	401.71	409.30	417.72	425.82	432.50
439.67	447.29	455.70	465.20	474.19	482.90
490.66	498.36	505.84	513.60	522.09	530.55
538.57	546.86	555.65	563.57	572.18	580.37
588.10	595.17	601.95	607.90	613.57	619.77
625.31	630.57	635.30	640.14	645.05	648.84
654.14	658.67	663.14	667.51	672.27	676.17
679.87	684.56	688.79	692.96	696.38	699.25
702.02	705.75	710.58	715.16	720.10	725.01
729.12	733.56	737.79	742.32	746.48	751.91
756.43	760.15	763.92	768.21	771.05	774.54
777.93	781.86	785.23	788.36	791.84	795.12
798.41	801.07	803.82	805.63	807.55	810.62
812.22	814.77	816.41	818.28	820.22	821.71
823.89	825.37	827.20	829.28	830.48	832.48
834.08	835.72	836.36	837.29	838.81	839.45
840.02	840.85	840.25	840.41	840.47	840.03
839.65	839.14	838.83	838.63	838.34	838.01
837.61	837.54	837.53	837.39	837.12	836.80
836.64	836.51	836.47	835.26	833.39	831.66
830.32	828.75	827.48	826.10	824.48	823.37
821.95	818.99	816.14	813.72	811.15	808.70
807.08	805.21	803.66	802.39	800.31	795.36
788.58	781.67	775.02	766.90	760.26	753.69
746.95	741.15	734.99	729.52	724.67	718.20
709.21	699.70	690.53	681.09	670.41	661.12
650.82	640.50	629.89	620.19	610.60	600.84
590.56	580.46	571.62	563.11	554.53	546.86
539.00	531.58	524.95	518.37	512.16	505.81
500.11	494.98	489.55	484.51	478.95	473.87
465.83	458.79	450.82	443.23	436.65	429.42
422.42	416.01	410.35	403.96	396.19	388.78
381.17	373.94	367.63	361.59	355.94	350.82
345.82	339.95	333.53	326.69	320.25	313.34
306.26	299.06	291.43	284.26	276.16	268.09
260.45	253.19	245.89	239.42	233.85	229.74
226.52	223.34	220.37	217.66	215.20	212.86
210.63	208.11	206.79	205.51	203.41	201.64
199.63	197.71	196.12	193.93	189.88	187.38
183.95	181.20	179.43	176.17	175.02	174.53
173.89	173.64	173.78	174.02	174.41	174.32
174.25	176.54	178.82	180.24	182.03	183.83
185.85	187.85	189.50	191.18	192.60	194.44
195.74	199.02	206.93	215.45	223.41	230.84
238.98	246.02	255.59	264.26	273.88	283.39
292.87	305.04	318.04	333.07	346.66	359.50
372.67	385.64	399.35	412.93	426.61	440.18
454.01	467.45	479.45	491.59	503.46	515.51
526.63	537.58	546.84	554.76	562.86	571.03
581.02	589.76	598.18	605.71	612.71	619.38
625.61	632.33	638.72	645.31	652.57	657.85
662.82	667.64	672.27	677.77	683.59	688.84
694.44	699.95	706.26	711.93	717.18	721.45
725.78	730.51	735.20	740.83	746.31	751.21
755.94	761.29	765.93	770.19	773.78	777.21
780.43	783.82	788.13	792.08	795.09	798.13
800.77	803.48	805.37	808.30	810.98	811.39
811.42	810.36	809.58	808.83	808.08	807.33
806.58	805.83	805.08	804.33	801.79	798.02
796.73	794.48	793.78	791.11	787.41	784.37
783.47	785.30	787.98	790.37	792.40	794.79
797.23	799.80	802.23	804.77	807.07	809.32
811.50	814.12	816.86	819.61	823.08	825.17
829.30	831.36	833.06	833.77	834.98	836.61
836.97	838.54	839.39	840.12	839.86	838.72
837.19	836.34	835.94	834.44	831.83	829.71
827.43	826.43	825.41	826.59	828.47	830.22
831.49	832.86	835.35	837.64	839.15	841.08
843.30	845.13	846.74	849.69	851.33	853.49
855.81	857.52	859.91	861.76	863.25	865.55
866.55	868.87	870.03	872.05	872.81	873.60
873.86	874.93	875.35	877.26	877.95	879.59
880.68	882.29	882.66	883.43	884.38	884.65
884.80	885.03	884.56	883.85	882.84	881.13
878.14	874.58	871.30	868.44	866.45	863.93
861.82	859.99	857.93	854.75	851.20	847.46
844.75	842.60	840.20	837.16	834.57	832.39
830.32	828.48	826.93	825.28	823.57	821.44
817.77	816.33	814.07	812.52	811.07	810.01
808.95	807.61	805.72	804.68	803.77	802.99
801.09	798.40	795.46	791.87	788.76	787.81
786.93	786.10	785.28	784.10	783.36	782.64
783.00	785.65	789.39	793.01	797.55	802.07
805.59	808.50	812.44	816.01	819.86	821.67
824.71	826.86	829.18	832.11	835.35	837.46
840.15	842.36	845.20	848.59	851.09	854.81
857.48	859.97	862.38	864.62	865.95	867.42
869.01	870.30	871.23	872.37	873.70	874.04
874.59	875.35	876.34	877.35	878.40	879.32
880.15	881.25	882.20	883.17	884.27	885.24
885.25	883.74	882.18	880.87	879.41	877.97
876.31	874.71	873.16	871.38	869.81	868.06
866.62	864.88	861.67	858.34	855.72	852.98
850.22	847.73	845.60	843.67	841.93	839.99
838.51	837.02	835.69	834.52	833.24	832.28
830.69	827.40	824.13	820.56	817.16	813.94
810.48	807.42	804.57	801.99	799.13	796.99
793.92	791.76	789.20	787.17	784.81	782.50
780.38	778.61	776.53	774.94	772.69	770.52
769.75	767.39	766.60	765.47	763.47	762.21
761.63	761.13	760.81	760.41	760.06	759.73
759.36	759.48	760.27	760.11	759.80	759.64
759.50	759.45	759.48	759.43	759.59	759.09
758.15	757.61	757.82	758.10	758.84	759.91
762.34	764.99	767.98	769.44	771.11	774.28
776.46	779.89	782.66	784.82	786.65	788.64
790.35	792.16	794.16	795.83	797.20	798.79
800.27	801.19	802.43	803.75	802.96	802.28
800.47	799.00	798.08	797.44	796.30	794.90
793.70	793.06	792.70	791.49	789.38	787.47
786.15	784.82	781.19	778.71	776.23	773.75
769.82	768.18	768.54	770.35	768.92	765.82
762.76	760.34	756.73	753.24	748.79	744.85
741.21	738.03	735.67	732.25	729.11	724.78
721.66	718.87	715.25	713.22	711.26	709.00
706.43	704.22	704.01	704.63	706.95	708.23
711.49	712.81	715.77	717.03	719.29	720.74
722.18	725.76	728.98	732.37	735.32	737.96
740.79	742.64	744.53	745.86	746.37	746.91
747.46	747.80	748.19	748.17	748.10	746.77
742.62	739.13	736.34	732.99	730.49	726.72
725.02	721.57	719.18	717.18	714.75	712.59
711.87	710.37	710.80	712.55	713.94	715.98
717.61	718.25	717.74	715.83	715.04	713.95
711.82	710.88	709.88	707.80	707.13	707.48
709.43	711.44	712.20	714.02	715.18	716.23
716.35	718.01	724.06	724.56	723.52	726.71
725.27	726.35	728.36	729.58	731.20	733.52
733.68	733.83	733.99	734.15	734.30	733.96
734.45	734.40	733.04	733.47	733.40	733.05
732.74	733.79	735.44	736.88	739.56	741.17
744.51	745.45	743.15	743.51	743.48	743.12
742.08	741.57	741.60	742.92	744.36	745.94
748.70	749.74	751.98	753.63	756.18	760.63
764.25	766.31	767.83	769.35	772.09	773.26
775.04	775.55	774.79	773.51	771.89	770.57
769.39	768.34	766.99	763.98	760.50	755.51
752.10	748.72	745.54	742.57	738.20	735.68
733.30	729.59	724.28	716.89	708.97	701.91
694.60	686.62	678.33	670.54	662.07	655.28
646.75	639.90	630.67	622.17	611.76	601.39
589.88	580.10	569.10	558.16	547.33	536.08
525.40	514.61	503.06	493.03	483.48	473.53
464.83	456.74	449.48	443.54	437.65	434.79
431.29	429.41	430.51	432.02	436.44	438.52
441.26	443.40	445.57	447.74	449.91	452.08
454.25	456.42	458.59	461.12	462.27	463.58
465.42	466.71	468.29	470.18	470.96	473.45
474.92	476.07	477.81	478.69	480.21	481.36
483.82	486.83	490.99	493.71	497.22	499.80
503.13	506.78	509.13	512.47	514.75	518.49
520.16	523.08	525.57	526.97	529.06	531.35
533.67	536.65	539.15	544.79	550.31	555.85
559.86	565.66	571.61	576.24	581.05	586.29
591.05	595.54	599.39	603.81	608.32	611.53
615.99	621.14	628.29	634.49	640.85	646.42
651.77	657.27	662.21	667.24	672.69	676.83
680.92	685.06	684.00	688.00	701.06	711.29
721.36	729.75	737.44	743.84	749.89	755.49
761.42	767.22	770.74	775.35	779.74	784.21
787.47	789.03	790.29	791.22	792.06	793.04
794.01	795.22	796.07	796.86	797.55	798.36
798.96	799.60	800.18	800.69	801.02	801.52
801.86	802.41	802.59	803.13	803.42	803.50
803.50	803.72	803.87	804.19	804.44	805.23
806.01	806.81	807.28	807.90	809.71	810.94
811.82	812.38	813.18	814.00	814.90	815.04
815.06	815.39	815.89	815.98	815.70	815.41
815.50	815.17	812.97	810.66	808.28	805.59
803.07	799.95	797.66	794.91	792.58	789.39
787.29	786.23	783.97	782.77	781.87	777.87
774.62	771.81	768.50	764.41	761.11	758.93
755.97	753.64	751.14	748.34	746.68	744.30
741.65	739.18	736.87	732.65	727.87	722.81
718.03	713.60	709.34	704.74	701.17	697.62
693.71	691.07	687.16	684.26	681.59	678.40
675.80	672.68	670.58	668.42	666.41	664.66
663.11	661.51	660.06	658.46	657.19	655.97
654.96	653.92	652.78	651.89	651.09	650.07
649.16	648.53	647.70	646.96	646.16	645.52
644.31	645.63	648.27	652.07	654.92	658.15
661.44	664.55	668.43	673.50	680.09	686.97
693.35	699.26	705.26	710.69	716.04	720.78
725.15	729.02	732.89	736.86	740.33	744.47
746.89	749.84	752.93	757.00	762.46	765.92
770.31	774.87	778.84	781.68	785.22	787.22
790.07	792.27	795.36	797.53	800.32	802.67
805.37	807.43	809.46	810.75	812.72	813.93
815.10	815.73	816.51	817.19	817.48	817.92
818.00	817.91	817.80	817.61	817.53	817.30
817.10	816.75	816.60	816.53	816.06	814.87
814.32	814.02	813.54	813.26	812.53	811.88
810.71	809.15	807.66	806.55	805.43	804.58
803.60	802.10	800.63	799.20	797.59	795.22
790.44	786.39	782.30	778.85	775.74	772.89
770.58	768.10	765.65	763.33	761.40	759.19
755.51	750.36	743.93	738.28	732.95	727.97
722.69	716.38	711.13	705.80	700.16	695.33
689.84	685.58	681.11	677.18	672.93	667.98
661.24	654.78	646.60	640.08	633.01	624.07
615.94	607.14	599.28	591.92	583.64	576.95
569.62	562.56	553.61	544.38	534.86	525.59
515.57	505.03	495.38	485.92	476.67	468.26
460.75	453.64	446.39	439.53	432.83	426.28
418.54	411.15	402.82	395.31	388.15	380.85
374.76	367.45	360.56	352.91	345.87	338.54
331.53	325.65	318.90	312.51	307.79	301.63
296.33	290.47	285.39	280.74	276.74	272.33
268.13	264.31	260.09	256.86	253.38	249.66
245.35	241.46	237.57	233.67	229.78	226.68
222.16	218.08	214.42	211.25	208.48	204.76
202.42	200.20	197.99	194.31	191.66	188.90
186.42	184.11	181.81	179.45	176.81	175.07
172.75	171.27	170.64	168.66	166.25	165.23
164.17	162.56	161.68	159.96	158.97	158.07
156.87	155.82	155.07	154.32	153.81	152.73
152.34	151.15	149.96	147.55	145.53	143.03
140.63	140.39	136.82	135.40	132.97	131.08
128.78	126.35	122.94	119.73	117.14	116.78
115.18	115.09	115.55	116.58	117.85	118.82
124.86	132.10	135.39	141.78	147.18	153.29
158.21	164.01	168.37	173.73	178.93	182.58
185.21	188.85	194.47	197.80	199.56	200.95
205.47	206.86	209.42	211.55	213.00	215.29
216.59	217.97	219.11	220.99	221.31	223.67
224.32	224.35	225.19	223.97	222.40	219.56
216.97	214.79	211.25	208.80	204.02	198.93
194.24	190.03	186.51	181.81	179.10	175.56
172.76	170.19	166.94	164.71	161.43	158.58
155.27	151.26	146.14	141.04	135.42	130.87
126.41	122.71	119.23	115.92	112.60	109.06
106.76	104.43	102.27	100.11	98.15	96.03
94.34	92.36	92.36	92.63	93.11	93.57
94.07	94.49	94.84	94.96	95.07	95.31
95.50	95.51	95.43	95.51	95.69	95.49
95.42	95.48	95.78	95.59	94.81	94.10
93.46	92.15	91.17	90.39	88.99	87.67
86.57	85.71	84.09	82.78	81.94	80.44
79.73	79.20	77.87	77.39	76.89	76.15
75.59	74.99	74.72	74.63	74.75	76.98
80.07	82.88	86.12	88.71	91.85	95.11
97.41	99.81	103.02	106.10	109.14	112.08
115.04	117.65	119.69	121.66	123.56	125.71
127.38	129.18	129.95	130.54	130.24	130.50
129.93	129.89	129.91	129.93	130.30	130.63
130.80	131.54	131.81	132.84	133.65	134.02
134.59	136.35	139.21	141.35	143.41	146.39
149.19	154.49	160.51	167.29	172.16	180.24
187.97	197.56	208.05	217.33	226.40	234.59
242.24	249.29	256.38	262.27	267.05	271.18
274.89	279.28	282.92	285.62	289.06	291.50
293.38	297.24	300.06	304.18	310.83	317.03
322.47	329.09	333.92	340.91	348.30	357.26
365.40	376.20	385.59	393.78	402.34	410.22
417.44	425.89	434.54	444.88	454.27	465.11
475.59	486.09	495.58	505.01	514.16	522.44
530.31	538.82	547.20	554.55	561.74	567.81
575.85	583.47	592.33	600.37	608.14	615.55
623.74	630.24	637.12	643.43	649.96	654.71
660.82	666.90	672.60	678.48	685.71	692.50
700.51	706.63	712.63	720.55	727.96	734.82
741.00	746.14	751.37	756.07	762.02	766.92
771.14	774.97	779.44	783.04	786.93	790.58
794.41	798.40	803.16	808.31	812.47	816.80
821.23	824.45	828.18	831.39	834.32	836.94
840.38	843.37	845.85	848.56	850.88	852.34
854.46	856.21	857.07	858.39	859.73	860.52
861.75	863.22	864.29	865.56	867.77	869.15
870.50	871.85	873.76	874.64	876.03	877.55
878.76	880.21	881.37	882.66	883.56	884.27
885.21	885.90	885.72	885.55	885.52	885.19
884.88	884.30	884.28	884.06	883.67	882.77
881.91	880.83	879.99	878.31	875.55	872.73
870.15	866.93	863.62	860.44	857.36	854.44
851.06	848.21	845.34	842.76	840.54	838.40
835.98	834.01	831.99	830.04	828.18	826.70
825.03	823.43	821.25	817.97	811.69	804.08
797.31	789.89	782.23	774.13	764.23	755.11
745.99	737.69	729.75	722.98	715.57	709.22
701.97	690.13	678.09	666.24	655.65	644.93
636.03	625.39	616.86	607.17	597.47	589.15
581.40	573.59	566.15	557.91	547.37	536.33
525.88	516.16	506.16	497.12	489.04	481.35
474.02	464.65	454.07	443.31	430.87	419.91
408.53	397.19	384.38	370.20	356.11	342.80
329.33	317.11	304.56	291.70	280.61	270.75
261.32	253.05	244.57	234.88	226.63	218.87
